; _JN01LM01_FQ; _JN01LM01_QQ; _JN01LM01_T1; _JN01LM01_T2; _JN01LM01_Tdiff; _JN01LM02_FE; _JN01LM02_FQ; _JN01LM02_QQ; _JN01LM02_T1; _JN01LM02_T2; _JN01LM02_Tdiff; _JN01_PE01; _JN01_SC01; _JN01_SC02; _JN01_TE01; _JN01_TE02; _JN01_TE03; _JN01_TE11; _JN01_TE12; _JN01_TE13; _JN01_TE21; _JN01_TV01; _JN02LM01_FE; _JN02LM01_FQ; _JN02LM01_QQ; _JN02LM01_T1; _JN02LM01_T2; _JN02LM01_Tdiff; _JN02_PE01; _JN02_SC01; _JN02_TE01; _JN02_TE02; _JN02_TE11; _JN02_TE12; _HP01LM01_QE; _IV01LM01_QE; _JN01LM01_QE; _JN01LM02_QE; _JN01LM02_QE_postsolar; _JN02LM01_QE; _KS01LM01_QE; _KS01LM02_QE; _LL01LM01_QE; _LP01LM01_QE; _LV01LM01_QE; _OLK_LM01_QE; _kWToHP_QE;Principal Component 1;Principal Component 2;Principal Component 3
 _JN01LM01_FQ;1.0;0.9184674531344902;0.5032955043909408;0.5836552069208114;-0.004031969988882903;-0.5065772847093325;0.9892693586803833;0.9943703107527061;0.8237458282129091;0.7892815130490898;-0.21734985692979833;0.5043648096179981;-0.042036185238335466;0.11928074095047522;0.5883313235855284;0.5011565714111307;0.6088437185496296;0.7911244494784632;0.7782699463043721;0.8255778193115324;0.7822399991424673;-0.4632082580475059;0.6039557518946587;0.939058917991298;0.9327935575321419;0.3899348960650166;0.5714891738031824;-0.10299522720353983;0.7000060091634842;0.5922069426171208;0.36004657053432554;0.6404565013991034;0.6882460115598052;0.7245125240163903;-0.7351368872363916;-0.467563195923016;-0.8504700447967162;-0.6575249751419002;-0.4812944101804177;0.42284639401146196;-0.8734123092192744;;-0.7708301861523784;-0.7574606503035806;0.0755131543942113;-0.8273518710123882;-0.11526324773643186;0.8437602261928353;0.160947943131888;-0.4095571234162889
 _JN01LM01_QQ;0.9184674531344902;1.0;0.5792949880534266;0.638940668894791;-0.08739529836610804;-0.5426530961968195;0.9013184196195656;0.9529937922919609;0.7425771009221473;0.7333005301401144;-0.3039663908925041;0.31982272523619176;-0.23475012774769033;0.1200057335151519;0.6414276342956785;0.5797767728272005;0.635236698884147;0.7340786346143395;0.7157518960630515;0.7450835563953413;0.7332660741040488;-0.2588247101185894;0.5571675372711876;0.74232118946261;0.7219651240010053;0.26680507526985386;0.4541684890268324;-0.1928794098167519;0.6279972572199063;0.5554678421374087;0.23845624847820132;0.5378990970496872;0.6037698333323961;0.6505255166378188;-0.7434449294000532;-0.458624596406558;-0.7492234905284174;-0.5738127514424712;-0.5330133269535368;0.350613177385886;-0.8101096186870551;;-0.7440623752923637;-0.7686169920333511;0.09791400833133186;-0.7779223418009116;-0.3058781060156095;0.7895589080065664;-0.03583125527504134;-0.4029198957792253
 _JN01LM01_T1;0.5032955043909408;0.5792949880534266;1.0;0.9889897763378604;0.16613619467462012;-0.3739763163512116;0.5178445158294842;0.5305938723463741;0.7709281160115132;0.837383478144784;-0.6930947163017235;-0.2962051169330886;-0.8384044172990766;0.13550534498557412;0.9890408561828689;0.9998002772699413;0.9778175898529409;0.8347591365309862;0.73904997241652;0.7675377686638865;0.8683264016348817;-0.13011990473323215;0.40744575878481;0.41707646137799725;0.40495032898273253;0.35972963268869845;0.5719357812294386;-0.18530288420954197;0.6194547002013753;0.38679521502099123;0.3283120848070492;0.6242205639408686;0.5966847005928863;0.6850958804434087;-0.7883173695371544;-0.34968684434309655;-0.5814877332172195;-0.6426899912647978;-0.8198991783725675;0.2161818685716287;-0.5549726558984035;;-0.43968702616266403;-0.7700053298405658;-0.27770488484187716;-0.547532056339092;-0.838937604400353;0.7873409818762549;-0.5494597303227635;0.18442467569628854
 _JN01LM01_T2;0.5836552069208114;0.638940668894791;0.9889897763378604;1.0;0.1846015023574291;-0.42701224904055085;0.5955247649520851;0.6069357884091338;0.8353754316691875;0.8942991300938952;-0.6867277465961068;-0.21634044513715345;-0.7812065519533162;0.15051128887498907;0.9992838108147294;0.9892956778549192;0.9905184446037645;0.8921193298872232;0.8070514009378182;0.8328784510466424;0.9160926286855656;-0.21266530779919995;0.46927203484104746;0.5003132137034653;0.48900474318889986;0.40982095068561486;0.6216762235428089;-0.1525156609112852;0.683129786102211;0.4499399928375188;0.3775657837260833;0.6785793271817226;0.6629853049434582;0.7459661565961432;-0.8517287081706251;-0.4048638973157987;-0.6838309672805124;-0.7139061795398192;-0.8423401737706288;0.28215385868840454;-0.6265766138050441;;-0.4942995763638617;-0.834684886331129;-0.2766530407187774;-0.622393976791728;-0.7875765287552614;0.8526287298246907;-0.4814791643649524;0.1471591976376644
 _JN01LM01_Tdiff;-0.004031969988882903;-0.08739529836610804;0.16613619467462012;0.1846015023574291;1.0;0.5809433279584958;-0.025245226704825905;-0.033322830977472094;0.1346528271034296;0.14493378121007464;-0.10028301466051295;-0.14169368902117307;-0.26970282544064267;-0.12150626568589737;0.17615883287339956;0.1648270222545432;0.22751837486964502;0.1461791676208952;0.1522648675944268;0.12694062272212242;0.15000736965877945;-0.49221330606526253;0.10814289659272693;0.03564146805460574;0.06210800477008733;0.4354190557261694;0.42609727911436973;0.29337254543743296;0.2721517835863179;0.08095913425015051;0.43420043192110297;0.3755635272099112;0.2702858518237883;0.26149795386412356;0.13797224861980398;0.28343376104480256;-0.0053417886931175764;-0.29165463058698304;-0.02166760662125352;0.2374397770663594;0.05083690710981962;;0.03621435381561908;0.17293286256617113;-0.2766338419712931;0.15555333865675203;-0.07042383875569724;0.1413950979929175;0.11542871073406703;0.6648046388317551
 _JN01LM02_FE;-0.5065772847093325;-0.5426530961968195;-0.3739763163512116;-0.42701224904055085;0.5809433279584958;1.0;-0.5260353542081295;-0.5315935373317752;-0.49510880461613865;-0.4823754755110818;0.1742820312123788;-0.14420391899489002;0.09688584488417043;-0.046730067762927235;-0.42769998698305894;-0.3787397094555565;-0.3652086281068708;-0.4829639240278845;-0.47235705306237175;-0.5033107614302101;-0.47162167566012836;-0.20380377632038332;-0.27565748747835006;-0.44705386473406244;-0.41980007254921914;-0.005833707397195375;-0.14300651009533857;0.262590587931082;-0.2872616283543624;-0.3017332830672467;0.010222049571876963;-0.21726354313777696;-0.2922808702714216;-0.34145761221740584;0.7662122676059422;0.48034225556822935;0.5968373468945791;0.3040562264543233;0.4917783173715153;-0.0825724656669619;0.5634917248132264;;0.4055318518862796;0.7741618793837022;0.05025844438753927;0.6083184730908349;0.2892252463889867;-0.49760252547509576;0.21702464505609542;0.5297243403415319
 _JN01LM02_FQ;0.9892693586803833;0.9013184196195656;0.5178445158294842;0.5955247649520851;-0.025245226704825905;-0.5260353542081295;1.0;0.9856952337483483;0.8347712671337943;0.7979440152075279;-0.2103869337479344;0.5332877318525487;-0.04487904993741556;0.12571286745912036;0.6010534871719223;0.5154357452345589;0.6182478337040445;0.7998613545833988;0.7855291818576138;0.8360868590956821;0.7939012568348037;-0.43848095745440907;0.6066979820668248;0.957688929876215;0.9442319793466978;0.3851736800902556;0.5734158372963768;-0.11867866401377188;0.6977017816433977;0.5922730957050097;0.3522656288888939;0.6431807126414446;0.6886068102106347;0.7279321065878269;-0.7426944742616285;-0.4755007498773818;-0.8511228580287153;-0.643788843067905;-0.47834506658012843;0.41759824525042105;-0.8958739165724179;;-0.7893716541155646;-0.7683607133561003;0.10299855729236007;-0.8469281729552391;-0.12695123595942534;0.8499428367699385;0.15568610053504692;-0.4283143210372649
 _JN01LM02_QQ;0.9943703107527061;0.9529937922919609;0.5305938723463741;0.6069357884091338;-0.033322830977472094;-0.5315935373317752;0.9856952337483483;1.0;0.8174743517523093;0.7878602662960632;-0.23823680095301664;0.473088824089589;-0.0885638928539133;0.12308268828293185;0.6112308698200044;0.5290711932842441;0.6243851683330294;0.7894703988858085;0.7758457048905888;0.8194570535803302;0.7831549921400508;-0.41160624177991817;0.6032179313800663;0.9075573185748088;0.8957194221198;0.362480924850218;0.5494734581816809;-0.13099619155856543;0.6919216802173802;0.5935532098927762;0.33205854260253903;0.6237677399807676;0.6774955549182224;0.7170796183077954;-0.7512660910245103;-0.4762000648978488;-0.8396572657054354;-0.6443492636296244;-0.5005779225035524;0.41137319132821115;-0.877953360852193;;-0.7810577243562562;-0.7755115960395624;0.08927074619263814;-0.8342736687240587;-0.16531087406636316;0.8442295809802849;0.11453663942942449;-0.4222768113268729
 _JN01LM02_T1;0.8237458282129091;0.7425771009221473;0.7709281160115132;0.8353754316691875;0.1346528271034296;-0.49510880461613865;0.8347712671337943;0.8174743517523093;1.0;0.9840684945992905;-0.39276475362120367;0.2779550583547923;-0.3395221048595592;0.15067287620878103;0.8386836881719567;0.7689630897353708;0.8596701765750017;0.9845757956410295;0.97826463145921;0.9993430079615079;0.9732663178603063;-0.4773416526526149;0.7494780490230301;0.809461843144089;0.8050499200097586;0.6367993962467186;0.80405728080264;0.07965437553700135;0.9041009209369819;0.7255979410077882;0.6013898516184779;0.864138550142876;0.8993921928550331;0.9427016634758868;-0.8667516962522024;-0.49723229652242495;-0.9160518499204976;-0.8445913566440407;-0.656484594214802;0.5866925036284396;-0.8247277099101795;;-0.669029237049995;-0.8680944941475827;-0.12260230931493397;-0.8043717658040013;-0.33629572405301994;0.984283025541123;0.02278935928683437;-0.00821449926087358
 _JN01LM02_T2;0.7892815130490898;0.7333005301401144;0.837383478144784;0.8942991300938952;0.14493378121007464;-0.4823754755110818;0.7979440152075279;0.7878602662960632;0.9840684945992905;1.0;-0.5497529888278545;0.16462176752696192;-0.4435327175383788;0.16425184057777112;0.8966809488232792;0.8361805551497352;0.9191810854090687;0.9997860007745568;0.9580588778270657;0.9836702459689415;0.9899129335781918;-0.48685610333543994;0.66853106658765;0.7586343371491907;0.754311042505812;0.5898280146913215;0.776402992277961;0.012241488108347152;0.863951724226038;0.6450013689062214;0.5567716009595597;0.8359832365415489;0.8523903885472862;0.9082295910859078;-0.8995854097626521;-0.5111900971626164;-0.9018339925806309;-0.864456098353108;-0.7691350403935221;0.5052025619640099;-0.7936493282274306;;-0.6322538779498456;-0.895084775270035;-0.17729505902293952;-0.7877166998615375;-0.44563921715365745;0.9804176095385683;-0.11612360764583822;0.02298784469752467
