"Time";"JN01_TE01";"JN01_TE03";"JN01_TE11";"JN01_TE12";"JN01_TE13";"JN01_TE21";"JN01LM01_FE";"JN01LM01_T1";"JN01LM01_T2";"JN01LM01_Tdiff";"JN02_TE01";"JN02_TE02";"JN02LM01_FE";"JN02LM01_T1";"JN02LM01_T2";"JN02LM01_Tdiff";"KS01LM01_FE";"KS01LM01_T1";"KS01LM01_T2";"KS01LM01_Tdiff"
"2018-01-15T08:00:00+02:00";19.338;15.294;10.474;10.817;10.04;10.47;0;17.604;19.85;2.232;11.483;10.624;0.013;11.921;11.872;0.231;29.805;35.84;31.84;4.006
"2018-01-15T09:00:00+02:00";19.517;15.389;10.401;10.728;10;10.4;0;17.758;20.045;2.3;13.385;10.369;0;13.754;11.883;1.854;29.804;35.743;31.835;3.899
"2018-01-15T10:00:00+02:00";16.938;13.507;9.989;10.393;10.022;9.815;0.064;15.98;17.955;2.017;15.217;10.377;0.002;16.191;11.826;4.423;29.802;35.933;31.859;4.074
"2018-01-15T11:00:00+02:00";8.498;7.592;8.919;9.652;10.124;8.458;0.366;8.036;8.616;0.604;10.066;10.163;0.034;10.742;10.822;0.288;29.9;40.034;34.226;5.812
"2018-01-15T12:00:00+02:00";12.703;8.642;9.432;9.857;9.531;9.292;0.089;8.609;12.659;4.181;12.383;10.914;0.001;12.381;12.302;0.309;30.022;40.952;35.701;5.253
"2018-01-15T13:00:00+02:00";8.82;7.871;8.856;9.546;9.619;8.834;0.221;8.223;8.753;0.626;10.899;10.533;0.018;11.436;11.259;0.331;29.985;42.252;36.272;5.971
"2018-01-15T14:00:00+02:00";11.402;10.192;10.13;10.434;9.626;10.035;0.001;9.569;12.409;2.84;13.148;10.979;0;13.135;12.672;0.572;30.035;41.921;36.799;5.141
"2018-01-15T15:00:00+02:00";12.857;12.633;10.278;10.608;9.806;10.191;0;11.896;14.899;3.003;15.076;10.894;0;15.915;12.54;3.375;30.004;42.032;36.589;5.436
"2018-01-15T16:00:00+02:00";14.081;14.098;10.373;10.724;9.915;10.3;0;13.713;16.248;2.493;17.112;10.517;0;17.66;12.259;5.434;30.127;42.077;36.555;5.516
"2018-01-15T17:00:00+02:00";15.172;14.752;10.431;10.8;9.993;10.359;0;15.181;17.19;1.985;15.736;10.383;0;16.103;11.866;4.253;30.031;42.238;36.671;5.575
"2018-01-15T18:00:00+02:00";15.946;15.057;10.496;10.8;10;10.398;0;16.049;17.849;1.8;15.112;10.468;0;15.48;11.962;3.534;30.058;42.084;36.596;5.495
"2018-01-15T19:00:00+02:00";16.547;15.18;10.5;10.808;10;10.4;0;16.517;18.334;1.8;15.37;10.5;0;15.76;12.017;3.743;30.078;42.127;36.67;5.47
"2018-01-15T20:00:00+02:00";17.039;15.264;10.5;10.841;10;10.4;0;16.849;18.666;1.8;15.432;10.5;0;15.8;12.063;3.788;30.094;42.187;36.705;5.457
"2018-01-15T21:00:00+02:00";17.383;15.3;10.5;10.886;10.004;10.402;0;17.072;18.906;1.8;15.428;10.529;0;15.8;12.1;3.7;30.103;42.111;36.666;5.416
"2018-01-15T22:00:00+02:00";17.687;15.3;10.509;10.9;10.006;10.414;0;17.256;19.095;1.8;15.5;10.591;0;15.8;12.1;3.7;30.087;42.248;36.696;5.546
