"Time";"JN02LM01_FE";"JN02_TE02";"JN02_TE11";"JN02LM01_T1";"JN02LM01_T2";"JN01_TE12";"JN01_TE13";"JN01LM01_FE";"JN01LM01_T1";"JN01LM01_T2";"JN01_TE01";"JN01_TE02";"JN01_TE03";"KS01_TE22";"KS01_TE21";"JN01LM02_FE";"JN01LM02_T1";"JN01LM02_T2";"JN01_TE11";"JN01_TV01"
"2017-12-01T00:00:00+02:00";0;5.546;6.8;14.652;7.948;1.544;3.052;0.232;4.61;1.355;1.066;4.177;4.313;24.2;20.8;0.385;3.751;1.301;1.143;100
"2017-12-01T00:15:00+02:00";0;5.561;6.844;14.658;7.942;3.324;2.632;0.15;4.527;3.098;3.146;4.047;4.154;24.212;20.8;0.262;3.179;2.788;2.912;100
"2017-12-01T00:30:00+02:00";0;5.438;6.897;14.333;7.963;2.459;3.354;0.182;4.511;2.48;1.899;4.065;4.173;24.203;20.8;0.313;3.821;2.431;2.014;100
"2017-12-01T00:45:00+02:00";0;5.515;6.9;14.2;7.9;1.917;2.707;0.23;4.758;1.343;1.713;4.267;4.404;24.238;20.838;0.367;3.408;1.328;1.546;100
"2017-12-01T01:00:00+02:00";0;5.441;6.9;14.167;7.933;4.189;2.957;0.124;4.515;4.038;3.821;4.048;4.119;24.282;20.892;0.214;3.401;3.953;3.731;100
"2017-12-01T01:15:00+02:00";0;5.152;6.989;13.964;7.864;3.998;3.854;0.148;4.664;4.093;3.456;4.264;4.409;24.297;20.9;0.261;4.285;4.008;3.553;100
"2017-12-01T01:30:00+02:00";0;5.311;7;13.733;7.5;2.052;3.447;0.249;5.112;1.868;1.589;4.706;4.861;24.3;20.9;0.425;4.176;1.794;1.682;100
"2017-12-01T01:45:00+02:00";0;5.624;7;13.8;7.63;1.592;2.633;0.247;4.782;1.422;1.131;4.194;4.322;24.3;20.9;0.416;3.304;1.352;1.191;100
"2017-12-01T02:00:00+02:00";0.045;4.089;6.919;9.706;5.888;2.852;2.467;0.187;4.372;1.942;2.172;3.834;3.95;24.3;20.9;0.309;3.085;1.914;1.852;100
"2017-12-01T02:15:00+02:00";0.052;3.587;6.191;5.884;5.018;3.556;3.267;0.143;4.414;3.275;2.8;3.996;4.103;24.3;20.97;0.247;3.663;3.197;2.834;100
"2017-12-01T02:30:00+02:00";0.007;4.365;5.797;6.579;4.763;1.722;3.227;0.234;4.733;1.518;1.248;4.285;4.415;24.3;21;0.389;3.984;1.463;1.323;100
"2017-12-01T02:45:00+02:00";0.002;5.172;5.785;7.533;6.226;2.854;2.854;0.173;4.613;2.946;2.438;4.106;4.228;24.3;21;0.293;3.392;2.869;2.474;100
"2017-12-01T03:00:00+02:00";0.001;5.287;5.82;8.475;7.37;2.468;2.969;0.194;4.526;2.182;2.28;4.076;4.198;24.35;21;0.315;3.59;1.99;2.076;100
