"Time";"LP01LM01_QQ";"SJ01_SM01"
"2017-12-01T02:00:00+02:00";274.859;105.491
"2017-12-02T02:00:00+02:00";400.148;158.63
"2017-12-03T02:00:00+02:00";389.824;157.32
"2017-12-04T02:00:00+02:00";391.614;153.038
"2017-12-05T02:00:00+02:00";473.467;183.14
"2017-12-06T02:00:00+02:00";524.375;196.678
"2017-12-07T02:00:00+02:00";479.674;175.524
"2017-12-13T02:00:00+02:00";2593.401;999.07
"2017-12-14T02:00:00+02:00";789.524;329.709
"2017-12-15T02:00:00+02:00";349.761;136.267
"2017-12-16T02:00:00+02:00";470.682;182.545
"2017-12-17T02:00:00+02:00";369.13;150.911
"2017-12-18T02:00:00+02:00";426.351;166.69
"2017-12-19T02:00:00+02:00";389.319;156.361
"2017-12-20T02:00:00+02:00";384.604;158.509
"2017-12-21T02:00:00+02:00";372.713;151.631
"2017-12-22T02:00:00+02:00";472.363;178.793
"2017-12-23T02:00:00+02:00";534.709;204.727
"2017-12-24T02:00:00+02:00";475.204;187.904
"2017-12-25T02:00:00+02:00";516.627;195.9
"2017-12-26T02:00:00+02:00";609.87;225.725
"2017-12-27T02:00:00+02:00";539.29;208.149
"2017-12-28T02:00:00+02:00";505.431;198.859
"2017-12-29T02:00:00+02:00";530.904;205.173
"2017-12-30T02:00:00+02:00";528.371;207.146
"2017-12-31T02:00:00+02:00";432.917;173.499
"2018-01-01T02:00:00+02:00";506.835;194.925
"2018-01-02T02:00:00+02:00";527.798;202.197
"2018-01-03T02:00:00+02:00";462.745;182.46
"2018-01-04T02:00:00+02:00";361.941;149.927
"2018-01-05T02:00:00+02:00";370.415;153.002
"2018-01-06T02:00:00+02:00";291.721;120.867
"2018-01-07T02:00:00+02:00";80.692;32.212
"2018-01-08T02:00:00+02:00";50.797;27.529
"2018-01-09T02:00:00+02:00";368.059;183.002
"2018-01-10T02:00:00+02:00";296.697;151.887
"2018-01-11T02:00:00+02:00";325.278;164.288
"2018-01-12T02:00:00+02:00";182.653;101.057
"2018-01-13T02:00:00+02:00";23.273;12.892
"2018-01-14T02:00:00+02:00";13.479;4.631
"2018-01-15T02:00:00+02:00";12.93;4.907
"2018-01-16T02:00:00+02:00";10.076;5.151
"2018-01-17T02:00:00+02:00";3.372;4.467
"2018-01-18T02:00:00+02:00";7.128;4.536
"2018-01-19T02:00:00+02:00";6.162;4.34
"2018-01-20T02:00:00+02:00";3.838;4.277
"2018-01-21T02:00:00+02:00";9.034;5.195
"2018-01-22T02:00:00+02:00";0.966;3.923
"2018-01-23T02:00:00+02:00";8.001;4.42
"2018-01-24T02:00:00+02:00";25.525;15.769
"2018-01-25T02:00:00+02:00";33.868;17.17
"2018-01-26T02:00:00+02:00";2.606;4.555
"2018-01-27T02:00:00+02:00";7.469;4.441
"2018-01-28T02:00:00+02:00";8.333;4.725
"2018-01-29T02:00:00+02:00";9.458;4.42
"2018-01-30T02:00:00+02:00";23.331;16.948
"2018-01-31T02:00:00+02:00";21.409;15.483
"2018-02-01T02:00:00+02:00";11.614;8.139
"2018-02-02T02:00:00+02:00";29.612;19.059
"2018-02-03T02:00:00+02:00";27.273;16.147
"2018-02-04T02:00:00+02:00";1.501;3.974
"2018-02-05T02:00:00+02:00";7.968;4.319
"2018-02-06T02:00:00+02:00";2.125;4.754
"2018-02-07T02:00:00+02:00";9.907;4.304
"2018-02-08T02:00:00+02:00";20.95;14.288
"2018-02-09T02:00:00+02:00";218.79;99.818
"2018-02-10T02:00:00+02:00";236.641;113.769
"2018-02-11T02:00:00+02:00";267.234;128.624
"2018-02-12T02:00:00+02:00";215.222;102.564
"2018-02-13T02:00:00+02:00";-33746.705;-13672.866
"2018-02-14T02:00:00+02:00";-197722.131;-80170.305
"2018-02-15T02:00:00+02:00";0;0
"2018-02-16T02:00:00+02:00";180833.235;73306.934
"2018-02-17T02:00:00+02:00";51770.07;20966.181
"2018-02-18T02:00:00+02:00";525.71;190.281
"2018-02-19T02:00:00+02:00";545.341;190.104
"2018-02-20T02:00:00+02:00";586.007;201.872
"2018-02-21T02:00:00+02:00";615.226;212.45
"2018-02-22T02:00:00+02:00";654.327;228.848
"2018-02-23T02:00:00+02:00";264.944;91.908
"2018-02-24T02:00:00+02:00";179.187;62.94
"2018-02-25T02:00:00+02:00";409.596;142.988
"2018-02-26T02:00:00+02:00";586.052;201.797
"2018-02-27T02:00:00+02:00";625.952;213.476
"2018-02-28T02:00:00+02:00";614.91;212.798
"2018-03-01T02:00:00+02:00";232.905;77.048
"2018-03-02T02:00:00+02:00";-1144.256;-491.89
"2018-03-05T02:00:00+02:00";-1356.617;-528.264
"2018-03-06T02:00:00+02:00";5606.339;2187.66
"2018-03-07T02:00:00+02:00";618.91;228.938
"2018-03-08T02:00:00+02:00";524.662;196.811
"2018-03-09T02:00:00+02:00";477.817;184.651
"2018-03-10T02:00:00+02:00";429.924;174.753
"2018-03-11T02:00:00+02:00";459.369;191.108
"2018-03-12T02:00:00+02:00";472.202;193.824
"2018-03-13T02:00:00+02:00";445.3;179.875
"2018-03-14T02:00:00+02:00";444.53;178.005
"2018-03-15T02:00:00+02:00";509.273;191.863
"2018-03-16T02:00:00+02:00";524.17;193.095
"2018-03-17T02:00:00+02:00";469.616;178.697
"2018-03-19T02:00:00+02:00";941.58;371.332
"2018-03-20T02:00:00+02:00";412.317;161.925
"2018-03-21T02:00:00+02:00";563.323;214.539
"2018-03-22T02:00:00+02:00";515.577;203.695
"2018-03-23T02:00:00+02:00";413.195;164.388
"2018-03-24T02:00:00+02:00";342.181;138.643
"2018-03-25T02:00:00+02:00";176.802;121.35
"2018-03-26T03:00:00+03:00";441.337;128.714
"2018-03-27T03:00:00+03:00";99.897;47.259
"2018-03-28T03:00:00+03:00";37.137;15.64
"2018-03-29T03:00:00+03:00";33.855;13.298
"2018-03-30T03:00:00+03:00";37.428;10.491
"2018-03-31T03:00:00+03:00";26.56;4.62
"2018-04-01T03:00:00+03:00";26.213;4.593
"2018-04-02T03:00:00+03:00";36.357;4.662
"2018-04-03T03:00:00+03:00";48.798;15.914
"2018-04-04T03:00:00+03:00";44.052;12.334
"2018-04-05T03:00:00+03:00";42.677;15.155
"2018-04-06T03:00:00+03:00";58.769;27.171
"2018-04-07T03:00:00+03:00";56.683;18.921
"2018-04-08T03:00:00+03:00";35.959;4.594
"2018-04-09T03:00:00+03:00";38.673;16.216
"2018-04-10T03:00:00+03:00";72.509;34.061
"2018-04-11T03:00:00+03:00";128.822;63.417
"2018-04-12T03:00:00+03:00";112.031;54.801
"2018-04-13T03:00:00+03:00";108.082;52.445
"2018-04-14T03:00:00+03:00";34.489;19.188
"2018-04-15T03:00:00+03:00";9.037;4.438
"2018-04-16T03:00:00+03:00";0.963;4.431
"2018-04-17T03:00:00+03:00";0;4.429
"2018-04-18T03:00:00+03:00";0;4.453
"2018-04-19T03:00:00+03:00";10.248;10.459
"2018-04-20T03:00:00+03:00";17.511;11.177
"2018-04-21T03:00:00+03:00";2.241;4.47
"2018-04-22T03:00:00+03:00";0;4.474
"2018-04-23T03:00:00+03:00";46.011;26.439
"2018-04-24T03:00:00+03:00";168.62;75.45
"2018-04-25T03:00:00+03:00";195.456;87.194
"2018-04-26T03:00:00+03:00";166.876;73.542
"2018-04-27T03:00:00+03:00";131.458;60.834
"2018-04-28T03:00:00+03:00";133.71;61.224
"2018-04-29T03:00:00+03:00";145.528;67.031
"2018-04-30T03:00:00+03:00";187.467;83.017
"2018-05-01T03:00:00+03:00";161.118;72.678
"2018-05-02T03:00:00+03:00";221.002;96.062
"2018-05-03T03:00:00+03:00";176.212;77.614
"2018-05-04T03:00:00+03:00";152.68;71.931
"2018-05-05T03:00:00+03:00";160.048;72.416
"2018-05-06T03:00:00+03:00";83.73;41.013
"2018-05-07T03:00:00+03:00";43.803;23.098
"2018-05-08T03:00:00+03:00";40.999;24.158
"2018-05-09T03:00:00+03:00";43.925;29.167
"2018-05-10T03:00:00+03:00";43.956;26.602
"2018-05-11T03:00:00+03:00";37.658;21.117
"2018-05-12T03:00:00+03:00";36.542;20.925
"2018-05-13T03:00:00+03:00";42.689;20.241
"2018-05-14T03:00:00+03:00";37.523;18.833
"2018-05-15T03:00:00+03:00";31.838;16.706
"2018-05-16T03:00:00+03:00";36.503;17.889
"2018-05-17T03:00:00+03:00";32.844;18.445
"2018-05-18T03:00:00+03:00";18.133;12.981
"2018-05-19T03:00:00+03:00";35.142;20.15
"2018-05-20T03:00:00+03:00";35.275;18.642
"2018-05-21T03:00:00+03:00";29.785;16.948
"2018-05-22T03:00:00+03:00";33.468;17.444
"2018-05-23T03:00:00+03:00";29.92;15.841
"2018-05-24T03:00:00+03:00";46.416;21.157
"2018-05-25T03:00:00+03:00";39.616;21.579
"2018-05-26T03:00:00+03:00";41.078;19.084
"2018-05-27T03:00:00+03:00";39.51;18.447
"2018-05-28T03:00:00+03:00";39.965;21.018
"2018-05-29T03:00:00+03:00";40.938;18.992
"2018-05-30T03:00:00+03:00";42.673;22.243
"2018-05-31T03:00:00+03:00";53.933;24.957
"2018-06-01T03:00:00+03:00";45.961;23.172
"2018-06-02T03:00:00+03:00";48.578;21.545
"2018-06-03T03:00:00+03:00";47.155;22.32
"2018-06-04T03:00:00+03:00";57.375;28.962
"2018-06-05T03:00:00+03:00";58.407;31.471
"2018-06-06T03:00:00+03:00";65.314;31.717
"2018-06-07T03:00:00+03:00";51.487;25.779
"2018-06-08T03:00:00+03:00";41.036;23.77
"2018-06-09T03:00:00+03:00";32.454;19.426
"2018-06-10T03:00:00+03:00";29.137;17.899
"2018-06-11T03:00:00+03:00";27.774;16.118
"2018-06-12T03:00:00+03:00";32.547;15.894
"2018-06-13T03:00:00+03:00";29.537;18.224
"2018-06-14T03:00:00+03:00";28.032;18.133
"2018-06-15T03:00:00+03:00";24.92;15.165
"2018-06-16T03:00:00+03:00";25.781;15.235
"2018-06-17T03:00:00+03:00";25.566;14.808
"2018-06-18T03:00:00+03:00";25.514;14.673
"2018-06-19T03:00:00+03:00";24.971;14.941
"2018-06-20T03:00:00+03:00";20.012;13.819
"2018-06-21T03:00:00+03:00";-112.815;-38.792
"2018-06-22T03:00:00+03:00";174.54;75.952
"2018-06-23T03:00:00+03:00";29.813;19.525
"2018-06-24T03:00:00+03:00";24.692;18.011
"2018-06-25T03:00:00+03:00";30.955;16.879
"2018-06-26T03:00:00+03:00";27.102;16.057
